collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
14,The Crystal's Chosen,{5}{W}{W},7.0,Sorcery,uncommon,W,W,Create four 1/1 colorless Hero creature tokens. Then put a +1/+1 counter on each creature you control.,,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/14/the-crystals-chosen?utm_source=api
15,Delivery Moogle,{3}{W},4.0,Creature — Moogle,uncommon,W,W,"Flying
When this creature enters, search your library and/or graveyard for an artifact card with mana value 2 or less, reveal it, and put it into your hand. If you search your library this way, shuffle.",3,2,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/15/delivery-moogle?utm_source=api
16,"Dion, Bahamut's Dominant // Bahamut, Warden of Light",,4.0,Legendary Creature — Human Noble Knight // Legendary Enchantment Creature — Saga Dragon,rare,,W,,,,,"Dragonfire Dive, Flying, Transform",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/16/dion-bahamuts-dominant-bahamut-warden-of-light?utm_source=api
17,Dragoon's Lance,{1}{W},2.0,Artifact — Equipment,uncommon,W,W,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0 and is a Knight in addition to its other types.
During your turn, equipped creature has flying.
Gae Bolg — Equip {4}",,,,"Gae Bolg, Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/17/dragoons-lance?utm_source=api
18,Dwarven Castle Guard,{1}{W},2.0,Creature — Dwarf Soldier,common,W,W,"When this creature dies, create a 1/1 colorless Hero creature token.",2,1,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/18/dwarven-castle-guard?utm_source=api
19,Fate of the Sun-Cryst,{4}{W},5.0,Instant,common,W,W,"This spell costs {2} less to cast if it targets a tapped creature.
Destroy target nonland permanent.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/19/fate-of-the-sun-cryst?utm_source=api
20,From Father to Son,{1}{W},2.0,Sorcery,rare,W,W,"Search your library for a Vehicle card, reveal it, and put it into your hand. If this spell was cast from a graveyard, put that card onto the battlefield instead. Then shuffle.
Flashback {4}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/20/from-father-to-son?utm_source=api
21,G'raha Tia,{4}{W},5.0,Legendary Creature — Cat Archer,uncommon,W,W,"Reach
The Allagan Eye — Whenever one or more other creatures and/or artifacts you control die, draw a card. This ability triggers only once each turn.",3,5,,"Reach, The Allagan Eye",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/21/graha-tia?utm_source=api
22,Gaelicat,{2}{W},3.0,Creature — Cat,common,W,W,"Flying, vigilance
As long as you control two or more artifacts, this creature gets +2/+0.",1,3,,"Flying, Vigilance",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/22/gaelicat?utm_source=api
23,Machinist's Arsenal,{4}{W},5.0,Artifact — Equipment,rare,W,W,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types.
Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",,,,"Machina, Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/23/machinists-arsenal?utm_source=api
24,Magitek Armor,{3}{W},4.0,Artifact — Vehicle,uncommon,W,W,"When this Vehicle enters, create a 1/1 colorless Hero creature token.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",4,4,,Crew,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/24/magitek-armor?utm_source=api
25,Magitek Infantry,{W},1.0,Artifact Creature — Robot Soldier,common,W,W,"This creature gets +1/+0 as long as you control another artifact.
{2}{W}: Search your library for a card named Magitek Infantry, put it onto the battlefield tapped, then shuffle.",1,1,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/25/magitek-infantry?utm_source=api
26,"Minwu, White Mage",{3}{W}{W},5.0,Legendary Creature — Human Cleric,rare,W,W,"Vigilance, lifelink
Whenever you gain life, put a +1/+1 counter on each Cleric you control.",3,3,,"Lifelink, Vigilance",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/26/minwu-white-mage?utm_source=api
27,Moogles' Valor,{3}{W}{W},5.0,Instant,rare,W,W,"For each creature you control, create a 1/2 white Moogle creature token with lifelink. Then creatures you control gain indestructible until end of turn.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/27/moogles-valor?utm_source=api
28,Paladin's Arms,{2}{W},3.0,Artifact — Equipment,common,W,W,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+1, has ward {1}, and is a Knight in addition to its other types.
Lightbringer and Hero's Shield — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",,,,"Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/28/paladins-arms?utm_source=api
29,Phoenix Down,{W},1.0,Artifact,uncommon,W,W,"{1}{W}, {T}, Exile this artifact: Choose one —
• Return target creature card with mana value 4 or less from your graveyard to the battlefield tapped.
• Exile target Skeleton, Spirit, or Zombie.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/29/phoenix-down?utm_source=api
30,Restoration Magic,{W},1.0,Instant,uncommon,W,W,"Tiered (Choose one additional cost.)
• Cure — {0} — Target permanent gains hexproof and indestructible until end of turn.
• Cura — {1} — Target permanent gains hexproof and indestructible until end of turn. You gain 3 life.
• Curaga — {3}{W} — Permanents you control gain hexproof and indestructible until end of turn. You gain 6 life.",,,,"Curaga, Cura, Tiered, Cure",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/30/restoration-magic?utm_source=api
31,Sidequest: Catch a Fish // Cooking Campsite,,3.0,Enchantment // Land,uncommon,,W,,,,,"Transform, Food",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/31/sidequest:-catch-a-fish-cooking-campsite?utm_source=api
32,Slash of Light,{1}{W},2.0,Instant,common,W,W,Slash of Light deals damage equal to the number of creatures you control plus the number of Equipment you control to target creature.,,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/32/slash-of-light?utm_source=api
33,Snow Villiers,{2}{W},3.0,Legendary Creature — Human Rebel Monk,uncommon,W,W,"Vigilance
Snow Villiers's power is equal to the number of creatures you control.",*,3,,Vigilance,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/33/snow-villiers?utm_source=api
34,"Stiltzkin, Moogle Merchant",{W},1.0,Legendary Creature — Moogle,rare,W,W,"Lifelink
{2}, {T}: Target opponent gains control of another target permanent you control. If they do, you draw a card.",1,2,,Lifelink,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/34/stiltzkin-moogle-merchant?utm_source=api
35,Summon: Choco/Mog,{2}{W},3.0,Enchantment Creature — Saga Bird Moogle,common,W,W,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I, II, III, IV — Stampede! — Other creatures you control get +1/+0 until end of turn.",3,3,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/35/summon:-chocomog?utm_source=api
36,Summon: Knights of Round,{6}{W}{W},8.0,Enchantment Creature — Saga Knight,mythic,W,W,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after V.)
I, II, III, IV — Create three 2/2 white Knight creature tokens.
V — Ultimate End — Other creatures you control get +2/+2 until end of turn. Put an indestructible counter on each of them.
Indestructible",3,3,,Indestructible,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/36/summon:-knights-of-round?utm_source=api
37,Summon: Primal Garuda,{3}{W},4.0,Enchantment Creature — Saga Harpy,uncommon,W,W,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Aerial Blast — This creature deals 4 damage to target tapped creature an opponent controls.
II, III — Slipstream — Another target creature you control gets +1/+0 and gains flying until end of turn.
Flying",3,3,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/37/summon:-primal-garuda?utm_source=api
38,Ultima,{3}{W}{W},5.0,Sorcery,rare,W,W,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/38/ultima?utm_source=api
39,"Venat, Heart of Hydaelyn // Hydaelyn, the Mothercrystal",,3.0,Legendary Creature — Elder Wizard // Legendary Creature — God,rare,,W,,,,,"Blessing of Light, Indestructible, Transform",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/39/venat-heart-of-hydaelyn-hydaelyn-the-mothercrystal?utm_source=api
40,Weapons Vendor,{3}{W},4.0,Creature — Human Artificer,common,W,W,"When this creature enters, draw a card.
At the beginning of combat on your turn, if you control an Equipment, you may pay {1}. When you do, attach target Equipment you control to target creature you control.",2,2,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/40/weapons-vendor?utm_source=api
41,White Auracite,{2}{W}{W},4.0,Artifact,common,W,W,"When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
{T}: Add {W}.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/41/white-auracite?utm_source=api
42,White Mage's Staff,{1}{W},2.0,Artifact — Equipment,common,W,W,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+1, has ""Whenever this creature attacks, you gain 1 life,"" and is a Cleric in addition to its other types.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,,,"Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/42/white-mages-staff?utm_source=api
43,The Wind Crystal,{2}{W}{W},4.0,Legendary Artifact,rare,W,W,"White spells you cast cost {1} less to cast.
If you would gain life, you gain twice that much life instead.
{4}{W}{W}, {T}: Creatures you control gain flying and lifelink until end of turn.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/43/the-wind-crystal?utm_source=api
44,You're Not Alone,{W},1.0,Instant,common,W,W,"Target creature gets +2/+2 until end of turn. If you control three or more creatures, it gets +4/+4 until end of turn instead.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/44/youre-not-alone?utm_source=api
45,Zack Fair,{W},1.0,Legendary Creature — Human Soldier,uncommon,W,W,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",0,1,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/45/zack-fair?utm_source=api
46,Astrologian's Planisphere,{1}{U},2.0,Artifact — Equipment,rare,U,U,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature is a Wizard in addition to its other types and has ""Whenever you cast a noncreature spell and whenever you draw your third card each turn, put a +1/+1 counter on this creature.""
Diana — Equip {2}",,,,"Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/46/astrologians-planisphere?utm_source=api
47,Cargo Ship,{1}{U},2.0,Artifact — Vehicle,uncommon,U,U,"Flying, vigilance
{T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",2,3,,"Flying, Vigilance, Crew",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/47/cargo-ship?utm_source=api
48,Combat Tutorial,{2}{U},3.0,Sorcery,common,U,U,Target player draws two cards. Put a +1/+1 counter on up to one target creature you control.,,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/48/combat-tutorial?utm_source=api
49,Dragoon's Wyvern,{2}{U},3.0,Creature — Drake,common,U,U,"Flying
When this creature enters, create a 1/1 colorless Hero creature token.",2,1,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/49/dragoons-wyvern?utm_source=api
50,Dreams of Laguna,{1}{U},2.0,Instant,common,U,U,"Surveil 1, then draw a card. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,"Surveil, Flashback",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/50/dreams-of-laguna?utm_source=api
51,"Edgar, King of Figaro",{4}{U}{U},6.0,Legendary Creature — Human Artificer Noble,rare,U,U,"When Edgar enters, draw a card for each artifact you control.
Two-Headed Coin — The first time you flip one or more coins each turn, those coins come up heads and you win those flips.",4,5,,Two-Headed Coin,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/51/edgar-king-of-figaro?utm_source=api
52,Eject,{3}{U},4.0,Instant,uncommon,U,U,"This spell can't be countered.
Return target nonland permanent to its owner's hand.
Draw a card.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/52/eject?utm_source=api
53,Ether,{3}{U},4.0,Artifact,uncommon,U,U,"{T}, Exile this artifact: Add {U}. When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/53/ether?utm_source=api
54,"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,mythic,U,U,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",2,4,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/54/gogo-master-of-mimicry?utm_source=api
55,Ice Flan,{4}{U}{U},6.0,Creature — Elemental Ooze,common,U,U,"When this creature enters, tap target artifact or creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",5,4,,"Islandcycling, Landcycling, Typecycling, Cycling",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/55/ice-flan?utm_source=api
56,Ice Magic,{1}{U},2.0,Instant,common,U,U,"Tiered (Choose one additional cost.)
• Blizzard — {0} — Return target creature to its owner's hand.
• Blizzara — {2} — Target creature's owner puts it on their choice of the top or bottom of their library.
• Blizzaga — {5}{U} — Target creature's owner shuffles it into their library.",,,,"Blizzard, Blizzara, Blizzaga, Tiered",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/56/ice-magic?utm_source=api
57,Il Mheg Pixie,{1}{U},2.0,Creature — Faerie,uncommon,U,U,"Flying
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,1,,"Flying, Surveil",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/57/il-mheg-pixie?utm_source=api
58,"Jill, Shiva's Dominant // Shiva, Warden of Ice",,3.0,Legendary Creature — Human Noble Warrior // Legendary Enchantment Creature — Saga Elemental,rare,,U,,,,,Transform,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/58/jill-shivas-dominant-shiva-warden-of-ice?utm_source=api
59,Louisoix's Sacrifice,{U},1.0,Instant,rare,U,U,"As an additional cost to cast this spell, sacrifice a legendary creature or pay {2}.
Counter target activated ability, triggered ability, or noncreature spell.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/59/louisoixs-sacrifice?utm_source=api
60,The Lunar Whale,{3}{U},4.0,Legendary Artifact — Vehicle,rare,U,U,"Flying
You may look at the top card of your library any time.
As long as The Lunar Whale attacked this turn, you may play the top card of your library.
Crew 1",3,5,,"Flying, Crew",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/60/the-lunar-whale?utm_source=api
61,Magic Damper,{U},1.0,Instant,common,U,U,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it.,,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/61/magic-damper?utm_source=api
62,"Matoya, Archon Elder",{2}{U},3.0,Legendary Creature — Human Warlock,rare,U,U,"Whenever you scry or surveil, draw a card. (Draw after you scry or surveil.)",1,4,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/62/matoya-archon-elder?utm_source=api
63,Memories Returning,{2}{U}{U},4.0,Sorcery,rare,U,U,"Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand.
Flashback {7}{U}{U}",,,,Flashback,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/63/memories-returning?utm_source=api
64,The Prima Vista,{4}{U},5.0,Legendary Artifact — Vehicle,uncommon,U,U,"Flying
Whenever you cast a noncreature spell, if at least four mana was spent to cast it, The Prima Vista becomes an artifact creature until end of turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",5,3,,"Flying, Crew",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/64/the-prima-vista?utm_source=api
65,Qiqirn Merchant,{2}{U},3.0,Creature — Beast Citizen,common,U,U,"{1}, {T}: Draw a card, then discard a card.
{7}, {T}, Sacrifice this creature: Draw three cards. This ability costs {1} less to activate for each Town you control.",1,4,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/65/qiqirn-merchant?utm_source=api
66,Quistis Trepe,{2}{U},3.0,Legendary Creature — Human Wizard,uncommon,U,U,"Blue Magic — When Quistis Trepe enters, you may cast target instant or sorcery card from a graveyard, and mana of any type can be spent to cast that spell. If that spell would be put into a graveyard, exile it instead.",2,2,,Blue Magic,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/66/quistis-trepe?utm_source=api
67,Relm's Sketching,{2}{U}{U},4.0,Sorcery,uncommon,U,U,"Create a token that's a copy of target artifact, creature, or land.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/67/relms-sketching?utm_source=api
68,Retrieve the Esper,{3}{U},4.0,Sorcery,common,U,U,"Create a 3/3 blue Robot Warrior artifact creature token. Then if this spell was cast from a graveyard, put two +1/+1 counters on that token.
Flashback {5}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/68/retrieve-the-esper?utm_source=api
69,Rook Turret,{3}{U},4.0,Artifact Creature — Construct,common,U,U,"Flying
Whenever another artifact you control enters, you may draw a card. If you do, discard a card.",3,3,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/69/rook-turret?utm_source=api
70,Sage's Nouliths,{1}{U},2.0,Artifact — Equipment,common,U,U,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0, has ""Whenever this creature attacks, untap target attacking creature,"" and is a Cleric in addition to its other types.
Hagneia — Equip {3}",,,,"Hagneia, Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/70/sages-nouliths?utm_source=api
71,Sahagin,{1}{U},2.0,Creature — Merfolk Warrior,common,U,U,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature and it can't be blocked this turn.",1,3,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/71/sahagin?utm_source=api
72,Scorpion Sentinel,{1}{U},2.0,Artifact Creature — Robot Scorpion,common,U,U,"As long as you control seven or more lands, this creature gets +3/+0.",1,4,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/72/scorpion-sentinel?utm_source=api
73,Sidequest: Card Collection // Magicked Card,,4.0,Enchantment // Artifact — Vehicle,uncommon,,U,,,,,"Flying, Transform, Crew",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/73/sidequest:-card-collection-magicked-card?utm_source=api
74,Sleep Magic,{U},1.0,Enchantment — Aura,uncommon,U,U,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
When enchanted creature is dealt damage, sacrifice this Aura.",,,,Enchant,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/74/sleep-magic?utm_source=api
75,Stolen Uniform,{U},1.0,Instant,uncommon,U,U,"Choose target creature you control and target Equipment. Gain control of that Equipment until end of turn. Attach it to the chosen creature. When you lose control of that Equipment this turn, if it's attached to a creature you control, unattach it.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/75/stolen-uniform?utm_source=api
76,Stuck in Summoner's Sanctum,{2}{U},3.0,Enchantment — Aura,common,U,U,"Flash
Enchant artifact or creature
When this Aura enters, tap enchanted permanent.
Enchanted permanent doesn't untap during its controller's untap step and its activated abilities can't be activated.",,,,"Enchant, Flash",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/76/stuck-in-summoners-sanctum?utm_source=api
77,Summon: Leviathan,{4}{U}{U},6.0,Enchantment Creature — Saga Leviathan,rare,U,U,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Return each creature that isn't a Kraken, Leviathan, Merfolk, Octopus, or Serpent to its owner's hand.
II, III — Until end of turn, whenever a Kraken, Leviathan, Merfolk, Octopus, or Serpent attacks, draw a card.
Ward {2}",6,6,,Ward,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/77/summon:-leviathan?utm_source=api
78,Summon: Shiva,{3}{U}{U},5.0,Enchantment Creature — Saga Elemental,uncommon,U,U,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Heavenly Strike — Tap target creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
III — Diamond Dust — Draw a card for each tapped creature your opponents control.",4,5,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/78/summon:-shiva?utm_source=api
79,Swallowed by Leviathan,{2}{U},3.0,Instant,uncommon,U,U,"Choose target spell. Surveil 2, then counter the chosen spell unless its controller pays {1} for each card in your graveyard. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",,,,Surveil,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/79/swallowed-by-leviathan?utm_source=api
80,Syncopate,{X}{U},1.0,Instant,common,U,U,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/80/syncopate?utm_source=api
81,Thief's Knife,{2}{U},3.0,Artifact — Equipment,uncommon,U,U,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+1, has ""Whenever this creature deals combat damage to a player, draw a card,"" and is a Rogue in addition to its other types.
Equip {4}",,,,"Job select, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/81/thiefs-knife?utm_source=api
82,Travel the Overworld,{5}{U}{U},7.0,Sorcery,uncommon,U,U,"Affinity for Towns (This spell costs {1} less to cast for each Town you control.)
Draw four cards.",,,,Affinity,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/82/travel-the-overworld?utm_source=api
