collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
11,"Archangel Avacyn // Avacyn, the Purifier",,5.0,Legendary Creature — Angel // Legendary Creature — Angel,mythic,,"R, W",,,,,"Flying, Vigilance, Transform, Flash",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/11/archangel-avacyn-avacyn-the-purifier?utm_source=api
12,Avacynian Priest,{1}{W},2.0,Creature — Human Cleric,common,W,W,"{1}, {T}: Tap target non-Human creature.",1,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/12/avacynian-priest?utm_source=api
13,Bound by Moonsilver,{2}{W},3.0,Enchantment — Aura,common,W,W,"Enchant creature
Enchanted creature can't attack, block, or transform.
Sacrifice another permanent: Attach this Aura to target creature. Activate only as a sorcery and only once each turn.",,,,"Transform, Enchant",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/13/bound-by-moonsilver?utm_source=api
14,"Bruna, the Fading Light",{5}{W}{W},7.0,Legendary Creature — Angel Horror,rare,W,W,"When you cast this spell, you may return target Angel or Human creature card from your graveyard to the battlefield.
Flying, vigilance
(Melds with Gisela, the Broken Blade.)",5,7,,"Flying, Vigilance",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/14/bruna-the-fading-light?utm_source=api
14b,"Brisela, Voice of Nightmares",,11.0,Legendary Creature — Eldrazi Angel,mythic,,W,"Flying, first strike, vigilance, lifelink
Your opponents can't cast spells with mana value 3 or less.",9,10,,"Flying, Lifelink, Vigilance, First strike",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/14b/brisela-voice-of-nightmares?utm_source=api
15,Cathar Commando,{1}{W},2.0,Creature — Human Soldier,common,W,W,"Flash
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",3,1,,Flash,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/15/cathar-commando?utm_source=api
16,Cathar's Call,{2}{W},3.0,Enchantment — Aura,uncommon,W,W,"Enchant creature
Enchanted creature has vigilance and ""At the beginning of your end step, create a 1/1 white Human creature token.""",,,,Enchant,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/16/cathars-call?utm_source=api
17,Cathars' Crusade,{3}{W}{W},5.0,Enchantment,rare,W,W,"Whenever a creature you control enters, put a +1/+1 counter on each creature you control.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/17/cathars-crusade?utm_source=api
18,Crusader of Odric,{2}{W},3.0,Creature — Human Soldier,common,W,W,Crusader of Odric's power and toughness are each equal to the number of creatures you control.,*,*,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/18/crusader-of-odric?utm_source=api
19,Dauntless Cathar,{2}{W},3.0,Creature — Human Soldier,common,W,W,"{1}{W}, Exile this card from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate only as a sorcery.",3,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/19/dauntless-cathar?utm_source=api
20,Drogskol Shieldmate,{2}{W},3.0,Creature — Spirit Soldier,common,W,W,"Flash
When this creature enters, other creatures you control get +0/+1 until end of turn.",2,3,,Flash,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/20/drogskol-shieldmate?utm_source=api
21,Faith Unbroken,{3}{W},4.0,Enchantment — Aura,uncommon,W,W,"Enchant creature you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +2/+2.",,,,Enchant,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/21/faith-unbroken?utm_source=api
22,Fiend Hunter,{1}{W}{W},3.0,Creature — Human Cleric,uncommon,W,W,"When this creature enters, you may exile another target creature.
When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.",1,3,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/22/fiend-hunter?utm_source=api
23,Gather the Townsfolk,{1}{W},2.0,Sorcery,common,W,W,"Create two 1/1 white Human creature tokens.
Fateful hour — If you have 5 or less life, create five of those tokens instead.",,,,Fateful hour,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/23/gather-the-townsfolk?utm_source=api
24,"Gisela, the Broken Blade",{2}{W}{W},4.0,Legendary Creature — Angel Horror,mythic,W,W,"Flying, first strike, lifelink
At the beginning of your end step, if you both own and control Gisela and a creature named Bruna, the Fading Light, exile them, then meld them into Brisela, Voice of Nightmares.",4,3,,"Flying, Lifelink, First strike, Meld",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/24/gisela-the-broken-blade?utm_source=api
25,Gryff's Boon,{W},1.0,Enchantment — Aura,uncommon,W,W,"Enchant creature
Enchanted creature gets +1/+0 and has flying.
{3}{W}: Return this card from your graveyard to the battlefield attached to target creature. Activate only as a sorcery.",,,,Enchant,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/25/gryffs-boon?utm_source=api
26,Guardian of Pilgrims,{1}{W},2.0,Creature — Spirit Cleric,common,W,W,"When this creature enters, target creature gets +1/+1 until end of turn.",2,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/26/guardian-of-pilgrims?utm_source=api
27,Hopeful Initiate,{W},1.0,Creature — Human Warlock,rare,W,W,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
{2}{W}, Remove two +1/+1 counters from among creatures you control: Destroy target artifact or enchantment.",1,2,,Training,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/27/hopeful-initiate?utm_source=api
28,Inspiring Captain,{3}{W},4.0,Creature — Human Knight,common,W,W,"When this creature enters, creatures you control get +1/+1 until end of turn.",3,3,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/28/inspiring-captain?utm_source=api
29,Intangible Virtue,{1}{W},2.0,Enchantment,uncommon,W,W,Creature tokens you control get +1/+1 and have vigilance.,,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/29/intangible-virtue?utm_source=api
30,Lingering Souls,{2}{W},3.0,Sorcery,uncommon,W,"B, W","Create two 1/1 white Spirit creature tokens with flying.
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/30/lingering-souls?utm_source=api
31,Lunarch Mantle,{1}{W},2.0,Enchantment — Aura,common,W,W,"Enchant creature
Enchanted creature gets +2/+2 and has ""{1}, Sacrifice a permanent: This creature gains flying until end of turn.""",,,,Enchant,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/31/lunarch-mantle?utm_source=api
32,Lunarch Veteran // Luminous Phantom,,1.0,Creature — Human Cleric // Creature — Spirit Cleric,common,,W,,,,,"Flying, Transform, Disturb",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/32/lunarch-veteran-luminous-phantom?utm_source=api
33,Mausoleum Guard,{3}{W},4.0,Creature — Human Scout,uncommon,W,W,"When this creature dies, create two 1/1 white Spirit creature tokens with flying.",2,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/33/mausoleum-guard?utm_source=api
34,Mentor of the Meek,{2}{W},3.0,Creature — Human Soldier,uncommon,W,W,"Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.",2,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/34/mentor-of-the-meek?utm_source=api
35,Niblis of the Urn,{1}{W},2.0,Creature — Spirit,uncommon,W,W,"Flying
Whenever this creature attacks, you may tap target creature.",1,1,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/35/niblis-of-the-urn?utm_source=api
36,"Odric, Lunarch Marshal",{3}{W},4.0,Legendary Creature — Human Soldier,rare,W,W,"At the beginning of each combat, creatures you control gain first strike until end of turn if a creature you control has first strike. The same is true for flying, deathtouch, double strike, haste, hexproof, indestructible, lifelink, menace, reach, skulk, trample, and vigilance.",3,3,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/36/odric-lunarch-marshal?utm_source=api
37,Rally the Peasants,{2}{W},3.0,Instant,uncommon,W,"R, W","Creatures you control get +2/+0 until end of turn.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/37/rally-the-peasants?utm_source=api
38,Restoration Angel,{3}{W},4.0,Creature — Angel,rare,W,W,"Flash
Flying
When this creature enters, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",3,4,,"Flying, Flash",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/38/restoration-angel?utm_source=api
39,Slayer of the Wicked,{3}{W},4.0,Creature — Human Soldier,uncommon,W,W,"When this creature enters, you may destroy target Vampire, Werewolf, or Zombie.",3,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/39/slayer-of-the-wicked?utm_source=api
40,Soul-Guide Gryff,{4}{W},5.0,Creature — Hippogriff Spirit,common,W,W,"Flying
When this creature enters, exile up to one target card from a graveyard.",3,4,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/40/soul-guide-gryff?utm_source=api
41,Spectral Shepherd,{2}{W},3.0,Creature — Spirit,uncommon,W,"U, W","Flying
{1}{U}: Return target Spirit you control to its owner's hand.",2,2,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/41/spectral-shepherd?utm_source=api
42,Strength of Arms,{W},1.0,Instant,common,W,W,"Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/42/strength-of-arms?utm_source=api
43,Subjugator Angel,{4}{W}{W},6.0,Creature — Angel,uncommon,W,W,"Flying
When this creature enters, tap all creatures your opponents control.",4,3,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/43/subjugator-angel?utm_source=api
44,"Thalia, Heretic Cathar",{2}{W},3.0,Legendary Creature — Human Soldier,rare,W,W,"First strike
Creatures and nonbasic lands your opponents control enter tapped.",3,2,,First strike,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/44/thalia-heretic-cathar?utm_source=api
45,Thraben Inspector,{W},1.0,Creature — Human Soldier,common,W,W,"When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",1,2,,Investigate,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/45/thraben-inspector?utm_source=api
46,Town Gossipmonger // Incited Rabble,,1.0,Creature — Human // Creature — Human,uncommon,,"R, W",,,,,Transform,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/46/town-gossipmonger-incited-rabble?utm_source=api
47,Twinblade Geist // Twinblade Invocation,,2.0,Creature — Spirit Warrior // Enchantment — Aura,uncommon,,W,,,,,"Transform, Enchant, Double strike, Disturb",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/47/twinblade-geist-twinblade-invocation?utm_source=api
48,Valorous Stance,{1}{W},2.0,Instant,uncommon,W,W,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/48/valorous-stance?utm_source=api
49,Vanquish the Horde,{6}{W}{W},8.0,Sorcery,rare,W,W,"This spell costs {1} less to cast for each creature on the battlefield.
Destroy all creatures.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/49/vanquish-the-horde?utm_source=api
50,Voice of the Blessed,{W}{W},2.0,Creature — Spirit Cleric,rare,W,W,"Whenever you gain life, put a +1/+1 counter on this creature.
As long as this creature has four or more +1/+1 counters on it, it has flying and vigilance.
As long as this creature has ten or more +1/+1 counters on it, it has indestructible.",2,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/50/voice-of-the-blessed?utm_source=api
51,Wedding Announcement // Wedding Festivity,,3.0,Enchantment // Enchantment,rare,,W,,,,,Transform,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/51/wedding-announcement-wedding-festivity?utm_source=api
52,Aberrant Researcher // Perfected Form,,4.0,Creature — Human Insect // Creature — Insect Horror,uncommon,,U,,,,,"Flying, Transform, Mill",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/52/aberrant-researcher-perfected-form?utm_source=api
53,Battleground Geist,{4}{U},5.0,Creature — Spirit,common,U,U,"Flying
Other Spirit creatures you control get +1/+0.",3,3,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/53/battleground-geist?utm_source=api
54,Biolume Egg // Biolume Serpent,,3.0,Creature — Serpent Egg // Creature — Serpent,uncommon,,U,,,,,"Transform, Defender, Scry",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/54/biolume-egg-biolume-serpent?utm_source=api
55,Cackling Counterpart,{1}{U}{U},3.0,Instant,uncommon,U,U,"Create a token that's a copy of target creature you control.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/55/cackling-counterpart?utm_source=api
56,Cobbled Lancer,{U},1.0,Creature — Zombie Horse,uncommon,U,U,"As an additional cost to cast this spell, exile a creature card from your graveyard.
{3}{U}, Exile this card from your graveyard: Draw a card.",3,3,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/56/cobbled-lancer?utm_source=api
57,Compelling Deterrence,{1}{U},2.0,Instant,uncommon,U,U,Return target nonland permanent to its owner's hand. Then that player discards a card if you control a Zombie.,,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/57/compelling-deterrence?utm_source=api
58,Covetous Castaway // Ghostly Castigator,,2.0,Creature — Human // Creature — Spirit,uncommon,,U,,,,,"Flying, Transform, Mill, Disturb",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/58/covetous-castaway-ghostly-castigator?utm_source=api
59,Deadeye Navigator,{4}{U}{U},6.0,Creature — Spirit,rare,U,U,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as Deadeye Navigator is paired with another creature, each of those creatures has ""{1}{U}: Exile this creature, then return it to the battlefield under your control.""",5,5,,Soulbond,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/59/deadeye-navigator?utm_source=api
60,Delver of Secrets // Insectile Aberration,,1.0,Creature — Human Wizard // Creature — Human Insect,common,,U,,,,,"Flying, Transform",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/60/delver-of-secrets-insectile-aberration?utm_source=api
61,Deranged Assistant,{1}{U},2.0,Creature — Human Wizard,common,U,U,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)",1,1,,Mill,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/61/deranged-assistant?utm_source=api
62,Docent of Perfection // Final Iteration,,5.0,Creature — Insect Horror // Creature — Eldrazi Insect,rare,,U,,,,,"Flying, Transform",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/62/docent-of-perfection-final-iteration?utm_source=api
63,Drunau Corpse Trawler,{3}{U},4.0,Creature — Zombie,uncommon,U,"B, U","When this creature enters, create a 2/2 black Zombie creature token.
{2}{B}: Target Zombie gains deathtouch until end of turn.",1,1,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/63/drunau-corpse-trawler?utm_source=api
64,Essence Flux,{U},1.0,Instant,common,U,U,"Exile target creature you control, then return that card to the battlefield under its owner's control. If it's a Spirit, put a +1/+1 counter on it.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/64/essence-flux?utm_source=api
65,Forbidden Alchemy,{2}{U},3.0,Instant,uncommon,U,"B, U","Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.
Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/65/forbidden-alchemy?utm_source=api
66,Geistlight Snare,{2}{U},3.0,Instant,uncommon,U,U,"This spell costs {1} less to cast if you control a Spirit. It also costs {1} less to cast if you control an enchantment.
Counter target spell unless its controller pays {3}.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/66/geistlight-snare?utm_source=api
67,Grizzled Angler // Grisly Anglerfish,,3.0,Creature — Human // Creature — Eldrazi Fish,uncommon,,U,,,,,"Transform, Mill",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/67/grizzled-angler-grisly-anglerfish?utm_source=api
68,Hullbreaker Horror,{5}{U}{U},7.0,Creature — Kraken Horror,rare,U,U,"Flash
This spell can't be countered.
Whenever you cast a spell, choose up to one —
• Return target spell you don't control to its owner's hand.
• Return target nonland permanent to its owner's hand.",7,8,,Flash,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/68/hullbreaker-horror?utm_source=api
69,Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,common,U,U,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",,,,Enchant,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/69/imprisoned-in-the-moon?utm_source=api
70,"Jace, Unraveler of Secrets",{3}{U}{U},5.0,Legendary Planeswalker — Jace,mythic,U,U,"+1: Scry 1, then draw a card.
−2: Return target creature to its owner's hand.
−8: You get an emblem with ""Whenever an opponent casts their first spell each turn, counter that spell.""",,,5,Scry,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/70/jace-unraveler-of-secrets?utm_source=api
71,Laboratory Maniac,{2}{U},3.0,Creature — Human Wizard,uncommon,U,U,"If you would draw a card while your library has no cards in it, you win the game instead.",2,2,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/71/laboratory-maniac?utm_source=api
72,Lantern Bearer // Lanterns' Lift,,1.0,Creature — Spirit // Enchantment — Aura,common,,U,,,,,"Flying, Transform, Enchant, Disturb",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/72/lantern-bearer-lanterns-lift?utm_source=api
73,Makeshift Mauler,{3}{U},4.0,Creature — Zombie Horror,common,U,U,"As an additional cost to cast this spell, exile a creature card from your graveyard.",4,5,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/73/makeshift-mauler?utm_source=api
74,Mausoleum Wanderer,{U},1.0,Creature — Spirit,rare,U,U,"Flying
Whenever another Spirit you control enters, this creature gets +1/+1 until end of turn.
Sacrifice this creature: Counter target instant or sorcery spell unless its controller pays {X}, where X is this creature's power.",1,1,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/74/mausoleum-wanderer?utm_source=api
75,Memory Deluge,{2}{U}{U},4.0,Instant,rare,U,U,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/75/memory-deluge?utm_source=api
76,Mist Raven,{2}{U}{U},4.0,Creature — Bird,uncommon,U,U,"Flying
When this creature enters, return target creature to its owner's hand.",2,2,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/76/mist-raven?utm_source=api
77,Mystic Retrieval,{3}{U},4.0,Sorcery,uncommon,U,"R, U","Return target instant or sorcery card from your graveyard to your hand.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/77/mystic-retrieval?utm_source=api
78,Nebelgast Herald,{2}{U},3.0,Creature — Spirit,uncommon,U,U,"Flash
Flying
Whenever this creature or another Spirit you control enters, tap target creature an opponent controls.",2,1,,"Flying, Flash",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/78/nebelgast-herald?utm_source=api
79,Necroduality,{3}{U},4.0,Enchantment,mythic,U,U,"Whenever a nontoken Zombie you control enters, create a token that's a copy of that creature.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/79/necroduality?utm_source=api
80,Overcharged Amalgam,{2}{U}{U},4.0,Creature — Zombie Horror,rare,U,U,"Flash
Flying
Exploit (When this creature enters, you may sacrifice a creature.)
When this creature exploits a creature, counter target spell, activated ability, or triggered ability.",3,3,,"Flying, Flash, Exploit",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/80/overcharged-amalgam?utm_source=api
81,Reckless Scholar,{2}{U},3.0,Creature — Human Wizard,common,U,U,"{T}: Target player draws a card, then discards a card.",2,1,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/81/reckless-scholar?utm_source=api
82,Rise from the Tides,{5}{U},6.0,Sorcery,uncommon,U,U,Create a tapped 2/2 black Zombie creature token for each instant and sorcery card in your graveyard.,,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/82/rise-from-the-tides?utm_source=api
83,Rooftop Storm,{5}{U},6.0,Enchantment,rare,U,U,You may pay {0} rather than pay the mana cost for Zombie creature spells you cast.,,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/83/rooftop-storm?utm_source=api
84,Silent Departure,{U},1.0,Sorcery,common,U,U,"Return target creature to its owner's hand.
Flashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/84/silent-departure?utm_source=api
85,Soulcipher Board // Cipherbound Spirit,,2.0,Artifact // Creature — Spirit,uncommon,,U,,,,,"Flying, Transform",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/85/soulcipher-board-cipherbound-spirit?utm_source=api
86,Spontaneous Mutation,{U},1.0,Enchantment — Aura,common,U,U,"Flash
Enchant creature
Enchanted creature gets -X/-0, where X is the number of cards in your graveyard.",,,,"Enchant, Flash",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/86/spontaneous-mutation?utm_source=api
87,Stitched Mangler,{2}{U},3.0,Creature — Zombie Horror,common,U,U,"This creature enters tapped.
When this creature enters, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",2,3,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/87/stitched-mangler?utm_source=api
88,Summary Dismissal,{2}{U}{U},4.0,Instant,uncommon,U,U,Exile all other spells and counter all abilities.,,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/88/summary-dismissal?utm_source=api
89,Syncopate,{X}{U},1.0,Instant,common,U,U,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/89/syncopate?utm_source=api
90,Temporal Mastery,{5}{U}{U},7.0,Sorcery,mythic,U,U,"Take an extra turn after this one. Exile Temporal Mastery.
Miracle {1}{U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",,,,Miracle,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/90/temporal-mastery?utm_source=api
91,Thing in the Ice // Awoken Horror,,2.0,Creature — Horror // Creature — Kraken Horror,rare,,U,,,,,"Transform, Defender",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/91/thing-in-the-ice-awoken-horror?utm_source=api
92,Think Twice,{1}{U},2.0,Instant,common,U,U,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/92/think-twice?utm_source=api
93,Tower Geist,{3}{U},4.0,Creature — Spirit,common,U,U,"Flying
When this creature enters, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",2,2,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/93/tower-geist?utm_source=api
94,Wretched Throng,{1}{U},2.0,Creature — Zombie Horror,common,U,U,"When this creature dies, you may search your library for a card named Wretched Throng, reveal it, put it into your hand, then shuffle.",2,1,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/94/wretched-throng?utm_source=api
